country,population,indicator,direction,admin_level,admin_name,n_surveys,years_available,latest_year,baseline_target_year,baseline_year,baseline_year_gap,baseline_estimate,observed_latest_estimate,pp_change_10yr,recoded_baseline_estimate,recoded_observed_latest,pp_change_10yr_recoded,change_rank,prevalence_rank
DRC,,diarrhea_care_seeking,beneficial,ADM1,Kasai-Oriental,2,2013;2024,2024,2014,2013,1,20.668852,26.674335,6.005483,79.331148,73.325665,-6.005483,12,26
DRC,,diarrhea_care_seeking,beneficial,ADM1,Haut-Katanga,2,2013;2024,2024,2014,2013,1,25.776,31.766891,5.990891,74.224,68.233109,-5.990891,13,24
DRC,,diarrhea_care_seeking,beneficial,ADM1,Kasai-Central,2,2013;2024,2024,2014,2013,1,40.350329,45.997712,5.647383,59.649671,54.002288,-5.647383,14,10
DRC,,diarrhea_care_seeking,beneficial,ADM1,Lomami,2,2013;2024,2024,2014,2013,1,39.509656,42.555252,3.045596,60.490344,57.444748,-3.045596,15,12
DRC,,diarrhea_care_seeking,beneficial,ADM1,Mai-Ndombe,2,2013;2024,2024,2014,2013,1,50.046181,48.549885,-1.496296,49.953819,51.450115,1.496296,16,9
DRC,,diarrhea_care_seeking,beneficial,ADM1,Lualaba,2,2013;2024,2024,2014,2013,1,42.186418,39.955468,-2.23095,57.813582,60.044532,2.23095,17,15
DRC,,diarrhea_care_seeking,beneficial,ADM1,Bas-Uele,2,2013;2024,2024,2014,2013,1,34.847447,31.183101,-3.664346,65.152553,68.816899,3.664346,18,25
DRC,,diarrhea_care_seeking,beneficial,ADM1,Kinshasa,2,2013;2024,2024,2014,2013,1,37.938496,32.032421,-5.906075,62.061504,67.967579,5.906075,19,23
DRC,,diarrhea_care_seeking,beneficial,ADM1,Kwango,2,2013;2024,2024,2014,2013,1,44.693695,37.228222,-7.465473,55.306305,62.771778,7.465473,20,17
DRC,,diarrhea_care_seeking,beneficial,ADM1,Tshopo,2,2013;2024,2024,2014,2013,1,44.168516,33.603736,-10.56478,55.831484,66.396264,10.56478,21,21
DRC,,diarrhea_care_seeking,beneficial,ADM1,Mongala,2,2013;2024,2024,2014,2013,1,51.222973,38.775898,-12.447075,48.777027,61.224102,12.447075,22,16
DRC,,diarrhea_care_seeking,beneficial,ADM1,Kongo Central,2,2013;2024,2024,2014,2013,1,47.094104,33.41584,-13.678264,52.905896,66.58416,13.678264,23,22
DRC,,diarrhea_care_seeking,beneficial,ADM1,Tanganyika,2,2013;2024,2024,2014,2013,1,48.990533,34.47364,-14.516893,51.009467,65.52636,14.516893,24,20
DRC,,diarrhea_care_seeking,beneficial,ADM1,Maniema,2,2013;2024,2024,2014,2013,1,70.29766,53.703277,-16.594383,29.70234,46.296723,16.594383,25,7
DRC,,diarrhea_care_seeking,beneficial,ADM1,Haut-Uele,2,2013;2024,2024,2014,2013,1,54.669336,36.326261,-18.343075,45.330664,63.673739,18.343075,26,19
DRC,,facility_delivery,beneficial,ADM1,Tanganyika,2,2013;2024,2024,2014,2013,1,16.00799,38.976167,22.968177,83.99201,61.023833,-22.968177,1,25
DRC,,facility_delivery,beneficial,ADM1,Nord-Ubangi,2,2013;2024,2024,2014,2013,1,48.095354,69.338891,21.243537,51.904646,30.661109,-21.243537,2,19
DRC,,facility_delivery,beneficial,ADM1,Haut-Lomami,2,2013;2024,2024,2014,2013,1,44.010904,64.487289,20.476385,55.989096,35.512711,-20.476385,3,20
DRC,,facility_delivery,beneficial,ADM1,Lualaba,2,2013;2024,2024,2014,2013,1,71.100491,90.362809,19.262318,28.899509,9.637191,-19.262318,4,10
DRC,,facility_delivery,beneficial,ADM1,Mongala,2,2013;2024,2024,2014,2013,1,49.108228,63.268784,14.160556,50.891772,36.731216,-14.160556,5,22
DRC,,facility_delivery,beneficial,ADM1,Kwango,2,2013;2024,2024,2014,2013,1,67.208581,76.791197,9.582616,32.791419,23.208803,-9.582616,6,13
DRC,,facility_delivery,beneficial,ADM1,Lomami,2,2013;2024,2024,2014,2013,1,68.488712,75.645139,7.156427,31.511288,24.354861,-7.156427,7,14
DRC,,facility_delivery,beneficial,ADM1,Nord-Kivu,2,2013;2024,2024,2014,2013,1,92.066121,98.882948,6.816827,7.933879,1.117052,-6.816827,8,1
DRC,,facility_delivery,beneficial,ADM1,Haut-Katanga,2,2013;2024,2024,2014,2013,1,86.671791,91.594271,4.92248,13.328209,8.405729,-4.92248,9,8
DRC,,facility_delivery,beneficial,ADM1,Sud-Kivu,2,2013;2024,2024,2014,2013,1,92.638077,97.41304,4.774963,7.361923,2.58696,-4.774963,10,2
DRC,,facility_delivery,beneficial,ADM1,Ituri,2,2013;2024,2024,2014,2013,1,91.666267,95.972076,4.305809,8.333733,4.027924,-4.305809,11,4
DRC,,facility_delivery,beneficial,ADM1,Mai-Ndombe,2,2013;2024,2024,2014,2013,1,88.293505,92.18783,3.894325,11.706495,7.81217,-3.894325,12,7
DRC,,facility_delivery,beneficial,ADM1,Kasai-Central,2,2013;2024,2024,2014,2013,1,87.788768,91.305537,3.516769,12.211232,8.694463,-3.516769,13,9
DRC,,facility_delivery,beneficial,ADM1,Kasai,2,2013;2024,2024,2014,2013,1,81.54915,84.275093,2.725943,18.45085,15.724907,-2.725943,14,12
DRC,,facility_delivery,beneficial,ADM1,Sud-Ubangi,2,2013;2024,2024,2014,2013,1,71.063324,71.124878,0.061554,28.936676,28.875122,-0.061554,15,18
DRC,,facility_delivery,beneficial,ADM1,Kinshasa,2,2013;2024,2024,2014,2013,1,98.272061,97.397626,-0.874435,1.727939,2.602374,0.874435,16,3
DRC,,facility_delivery,beneficial,ADM1,Kongo Central,2,2013;2024,2024,2014,2013,1,95.517036,94.630055,-0.886981,4.482964,5.369945,0.886981,17,5
DRC,,facility_delivery,beneficial,ADM1,Kwilu,2,2013;2024,2024,2014,2013,1,93.977184,92.432617,-1.544567,6.022816,7.567383,1.544567,18,6
DRC,,facility_delivery,beneficial,ADM1,Tshuapa,2,2013;2024,2024,2014,2013,1,41.082896,38.116438,-2.966458,58.917104,61.883562,2.966458,19,26
DRC,,facility_delivery,beneficial,ADM1,Kasai-Oriental,2,2013;2024,2024,2014,2013,1,90.806308,87.456933,-3.349375,9.193692,12.543067,3.349375,20,11
DRC,,facility_delivery,beneficial,ADM1,Sankuru,2,2013;2024,2024,2014,2013,1,46.048268,42.439303,-3.608965,53.951732,57.560697,3.608965,21,24
DRC,,facility_delivery,beneficial,ADM1,Tshopo,2,2013;2024,2024,2014,2013,1,77.03063,72.553502,-4.477128,22.96937,27.446498,4.477128,22,16
DRC,,facility_delivery,beneficial,ADM1,Bas-Uele,2,2013;2024,2024,2014,2013,1,71.859999,59.058099,-12.8019,28.140001,40.941901,12.8019,23,23
DRC,,facility_delivery,beneficial,ADM1,Equateur,2,2013;2024,2024,2014,2013,1,78.496328,63.416808,-15.07952,21.503672,36.583192,15.07952,24,21
DRC,,facility_delivery,beneficial,ADM1,Haut-Uele,2,2013;2024,2024,2014,2013,1,88.309932,73.0025,-15.307432,11.690068,26.9975,15.307432,25,15
DRC,,facility_delivery,beneficial,ADM1,Maniema,2,2013;2024,2024,2014,2013,1,88.425339,71.421659,-17.00368,11.574661,28.578341,17.00368,26,17
DRC,,fever_care_seeking,beneficial,ADM1,Haut-Uele,2,2013;2024,2024,2014,2013,1,44.701156,69.184773,24.483617,55.298844,30.815227,-24.483617,1,1
DRC,,fever_care_seeking,beneficial,ADM1,Mai-Ndombe,2,2013;2024,2024,2014,2013,1,47.394117,62.046759,14.652642,52.605883,37.953241,-14.652642,2,3
DRC,,fever_care_seeking,beneficial,ADM1,Kasai-Central,2,2013;2024,2024,2014,2013,1,48.655454,58.423824,9.76837,51.344546,41.576176,-9.76837,3,4
DRC,,fever_care_seeking,beneficial,ADM1,Tanganyika,2,2013;2024,2024,2014,2013,1,42.486564,51.231683,8.745119,57.513436,48.768317,-8.745119,4,8
DRC,,fever_care_seeking,beneficial,ADM1,Kasai-Oriental,2,2013;2024,2024,2014,2013,1,37.413524,43.683373,6.269849,62.586476,56.316627,-6.269849,5,20
DRC,,fever_care_seeking,beneficial,ADM1,Bas-Uele,2,2013;2024,2024,2014,2013,1,40.13873,40.879176,0.740446,59.86127,59.120824,-0.740446,6,24
DRC,,fever_care_seeking,beneficial,ADM1,Nord-Kivu,2,2013;2024,2024,2014,2013,1,67.901624,66.437937,-1.463687,32.098376,33.562063,1.463687,7,2
DRC,,fever_care_seeking,beneficial,ADM1,Haut-Katanga,2,2013;2024,2024,2014,2013,1,47.353038,45.171391,-2.181647,52.646962,54.828609,2.181647,8,17
DRC,,fever_care_seeking,beneficial,ADM1,Maniema,2,2013;2024,2024,2014,2013,1,60.083635,56.15737,-3.926265,39.916365,43.84263,3.926265,9,6
DRC,,fever_care_seeking,beneficial,ADM1,Lualaba,2,2013;2024,2024,2014,2013,1,52.614017,48.374323,-4.239694,47.385983,51.625677,4.239694,10,12
DRC,,fever_care_seeking,beneficial,ADM1,Sud-Ubangi,2,2013;2024,2024,2014,2013,1,48.836668,44.380793,-4.455875,51.163332,55.619207,4.455875,11,19
DRC,,fever_care_seeking,beneficial,ADM1,Kongo Central,2,2013;2024,2024,2014,2013,1,55.3837,50.162542,-5.221158,44.6163,49.837458,5.221158,12,10
DRC,,fever_care_seeking,beneficial,ADM1,Sud-Kivu,2,2013;2024,2024,2014,2013,1,62.776258,57.531234,-5.245024,37.223742,42.468766,5.245024,13,5
DRC,,fever_care_seeking,beneficial,ADM1,Tshuapa,2,2013;2024,2024,2014,2013,1,46.984024,41.229332,-5.754692,53.015976,58.770668,5.754692,14,23
DRC,,fever_care_seeking,beneficial,ADM1,Haut-Lomami,2,2013;2024,2024,2014,2013,1,54.186097,47.497681,-6.688416,45.813903,52.502319,6.688416,15,14
DRC,,fever_care_seeking,beneficial,ADM1,Kwilu,2,2013;2024,2024,2014,2013,1,51.991164,44.415115,-7.576049,48.008836,55.584885,7.576049,16,18
DRC,,fever_care_seeking,beneficial,ADM1,Equateur,2,2013;2024,2024,2014,2013,1,62.580605,54.88529,-7.695315,37.419395,45.11471,7.695315,17,7
DRC,,fever_care_seeking,beneficial,ADM1,Lomami,2,2013;2024,2024,2014,2013,1,58.64372,50.57388,-8.06984,41.35628,49.42612,8.06984,18,9
DRC,,fever_care_seeking,beneficial,ADM1,Tshopo,2,2013;2024,2024,2014,2013,1,56.942955,47.598405,-9.34455,43.057045,52.401595,9.34455,19,13
DRC,,fever_care_seeking,beneficial,ADM1,Nord-Ubangi,2,2013;2024,2024,2014,2013,1,52.948557,43.185416,-9.763141,47.051443,56.814584,9.763141,20,22
DRC,,fever_care_seeking,beneficial,ADM1,Mongala,2,2013;2024,2024,2014,2013,1,58.16275,45.200093,-12.962657,41.83725,54.799907,12.962657,21,16
DRC,,fever_care_seeking,beneficial,ADM1,Kwango,2,2013;2024,2024,2014,2013,1,61.100418,47.113303,-13.987115,38.899582,52.886697,13.987115,22,15
DRC,,fever_care_seeking,beneficial,ADM1,Sankuru,2,2013;2024,2024,2014,2013,1,46.791249,29.545519,-17.24573,53.208751,70.454481,17.24573,23,26
