"country","admin_level","indicator","indicator_label","direction","distribution_order_improving_to_worsening","absolute_change_distribution_rank","areas_in_country_indicator_distribution","admin_name","latest_year","observed_latest_estimate","prevalence_rank","change_rank","risk_aligned_change_pp","absolute_risk_aligned_change_pp","threshold_percentile","quantile_type","threshold_t_pp","improving_cutoff_pp","worsening_cutoff_pp","classification","classification_label","improving_count_contribution","non_significant_count_contribution","worsening_count_contribution","risk_alignment_note"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",1,26,26,"Haut-Uele",2024,20.37656886,5,1,-46.07476398,46.07476398,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",2,24,26,"Nord-Ubangi",2024,23.70656272,9,2,-23.83933197,23.83933197,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",3,23,26,"Tanganyika",2024,44.83896073,19,3,-21.16380295,21.16380295,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",4,21,26,"Mai-Ndombe",2024,15.36260447,4,4,-15.76847996,15.76847996,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",5,18,26,"Lomami",2024,52.08573298,23,5,-14.11837731,14.11837731,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",6,17,26,"Mongala",2024,11.93418117,3,6,-13.38951939,13.38951939,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",7,15,26,"Bas-Uele",2024,61.02302039,26,7,-12.0666008,12.0666008,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",8,14,26,"Kinshasa",2024,5.111819932,1,8,-11.98259246,11.98259246,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",9,10,26,"Ituri",2024,33.67511878,12,9,-10.376109,10.376109,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",10,6,26,"Equateur",2024,21.74049565,7,10,-4.65902979,4.65902979,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",11,4,26,"Kasai",2024,37.45056562,13,11,-2.85736604,2.85736604,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",12,3,26,"Haut-Katanga",2024,20.46222088,6,12,-2.8523302,2.8523302,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",13,1,26,"Haut-Lomami",2024,44.19325998,18,13,0.89571762,0.89571762,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",14,2,26,"Sud-Ubangi",2024,26.10199399,10,14,2.48618847,2.48618847,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",15,5,26,"Kongo Central",2024,50.838574,22,15,3.73444643,3.73444643,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",16,7,26,"Nord-Kivu",2024,8.538666208,2,16,5.627053441,5.627053441,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",17,8,26,"Kasai-Oriental",2024,43.13127631,16,17,5.91000905,5.91000905,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",18,9,26,"Lualaba",2024,50.15997198,20,18,7.61544452,7.61544452,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",19,11,26,"Sankuru",2024,41.92691531,14,19,10.43859548,10.43859548,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",20,12,26,"Kasai-Central",2024,58.30350085,25,20,10.61723305,10.61723305,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",21,13,26,"Sud-Kivu",2024,22.61865784,8,21,10.66762787,10.66762787,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",22,16,26,"Maniema",2024,57.40076973,24,22,13.29090092,13.29090092,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",23,19,26,"Kwilu",2024,29.58574788,11,23,15.14627434,15.14627434,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",24,20,26,"Tshuapa",2024,41.95128071,15,24,15.31908834,15.31908834,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",25,22,26,"Tshopo",2024,43.78845564,17,25,17.86432512,17.86432512,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","malaria_rdt_positive","Malaria RDT+","adverse",26,25,26,"Kwango",2024,50.18961738,21,26,30.85851885,30.85851885,0.25,7,5.69779234325,-5.69779234325,5.69779234325,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",1,8,26,"Tanganyika",2024,51.64923892,18,1,-9.63905333,9.63905333,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"improving","Improving",1,0,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",2,5,26,"Lualaba",2024,33.9425992,10,2,-6.58093555,6.58093555,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",3,2,26,"Kinshasa",2024,0.75324915,1,3,-1.415044386,1.415044386,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",4,1,26,"Kasai-Central",2024,10.32900114,3,4,0.17224199,0.17224199,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",5,3,26,"Kasai-Oriental",2024,18.12919367,4,5,2.64792298,2.64792298,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",6,4,26,"Nord-Kivu",2024,9.982604647,2,6,3.706481943,3.706481943,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",7,6,26,"Haut-Uele",2024,45.71143912,14,7,7.85761292,7.85761292,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",8,7,26,"Haut-Katanga",2024,25.72857572,7,8,8.3046617,8.3046617,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"inside_threshold","Non-significant change",0,1,0,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",9,9,26,"Kwango",2024,29.01005374,9,9,11.90580051,11.90580051,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",10,10,26,"Kwilu",2024,21.30428407,6,10,12.49612273,12.49612273,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",11,11,26,"Ituri",2024,21.22315736,5,11,12.6960907,12.6960907,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",12,12,26,"Lomami",2024,34.64926038,11,12,12.79459328,12.79459328,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",13,13,26,"Haut-Lomami",2024,46.92928069,16,13,12.95998531,12.95998531,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
"DRC","ADM1","zero_dose","Zero-dose","adverse",14,14,26,"Nord-Ubangi",2024,38.40327539,12,14,15.65189631,15.65189631,0.25,7,8.6382596075,-8.6382596075,8.6382596075,"worsening","Worsening",0,0,1,"Positive means worsening; signs for beneficial coverage indicators are reversed"
