country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Bas-Uele,bas uele,34.847447,7.155641,20.822649,48.872246,62,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Bas-Uele,bas uele,31.183101,9.5512,12.463093,49.903109,102,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Equateur,equateur,49.252899,6.326786,36.852625,61.653172,48,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Equateur,equateur,63.177708,5.198711,52.988421,73.366995,94,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Haut-Katanga,haut katanga,25.776,6.214109,13.596571,37.955429,100,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Haut-Katanga,haut katanga,31.766891,10.843442,10.514136,53.019646,128,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Haut-Lomami,haut lomami,37.90744,6.312204,25.535748,50.279132,115,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Haut-Lomami,haut lomami,54.886096,4.501864,46.062604,63.709588,178,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Haut-Uele,haut uele,54.669336,9.280789,36.479323,72.859348,53,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Haut-Uele,haut uele,36.326261,9.160163,18.372671,54.279851,97,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Ituri,ituri,28.184095,8.709101,11.114572,45.253619,62,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Ituri,ituri,41.539313,4.66505,32.395983,50.682643,187,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Kasai,kasai,34.042289,3.574431,27.036533,41.048045,179,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Kasai,kasai,43.359945,5.177514,33.212204,53.507686,174,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Kasai Central,kasai central,40.350329,7.018392,26.594535,54.106124,178,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Kasai Central,kasai central,45.997712,2.926433,40.26201,51.733415,295,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Kasai Oriental,kasai oriental,20.668852,2.4924,15.783838,25.553866,133,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Kasai Oriental,kasai oriental,26.674335,5.199673,16.483164,36.865507,187,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Kinshasa,kinshasa,37.938496,3.640033,30.804162,45.072829,169,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Kinshasa,kinshasa,32.032421,6.028615,20.216553,43.848289,75,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Kongo Central,kongo central,47.094104,5.733375,35.856896,58.331313,122,1,2013 DHS
