country,admin_name,indicator,prev,ci_l,ci_u,n_units,prov_avg,prov_min,prov_max,pos_worse
DRC,Sud-Ubangi,U5MR,131.334801613145,108.777417736698,157.742011899434,26,95.1219838186368,47.2647388539391,166.562071378986,0.704710331570531
DRC,Maniema,U5MR,127.022858409296,100.24574618127,159.683136218092,26,95.1219838186368,47.2647388539391,166.562071378986,0.668565825129502
DRC,Haut-Lomami,U5MR,121.492184884621,79.2368361326855,181.831455474967,26,95.1219838186368,47.2647388539391,166.562071378986,0.62220541280835
DRC,Kasai-Oriental,U5MR,112.774684136338,83.474778091361,150.668294489923,26,95.1219838186368,47.2647388539391,166.562071378986,0.549131685477079
DRC,Haut-Katanga,U5MR,104.288802826602,78.7542824544948,136.872340765181,26,95.1219838186368,47.2647388539391,166.562071378986,0.477999488887909
DRC,Lomami,U5MR,101.526496304032,71.1674181848676,142.844661528375,26,95.1219838186368,47.2647388539391,166.562071378986,0.454844683460971
DRC,Kasai,U5MR,98.9769922835354,69.2582968445198,139.536150636204,26,95.1219838186368,47.2647388539391,166.562071378986,0.433473677366081
DRC,Ituri,U5MR,95.781834761196,72.5321976846101,125.475727391289,26,95.1219838186368,47.2647388539391,166.562071378986,0.406690534317441
DRC,Sud-Kivu,U5MR,85.8266784842663,63.5868307786796,114.890673378883,26,95.1219838186368,47.2647388539391,166.562071378986,0.323242262120412
DRC,Kwilu,U5MR,79.3129688732081,52.1979550857477,118.748560515175,26,95.1219838186368,47.2647388539391,166.562071378986,0.268641631300015
DRC,Kongo Central,U5MR,76.2945601316452,43.4232991954677,130.650619941975,26,95.1219838186368,47.2647388539391,166.562071378986,0.24334007025355
DRC,Nord-Ubangi,U5MR,74.3947407554815,47.6352331411605,114.381210715489,26,95.1219838186368,47.2647388539391,166.562071378986,0.227414991830151
DRC,Kwango,U5MR,71.2412564670313,48.3465697111326,103.795298035146,26,95.1219838186368,47.2647388539391,166.562071378986,0.200981171209827
DRC,Tanganyika,U5MR,69.7658203260466,44.5476801465488,107.651314987985,26,95.1219838186368,47.2647388539391,166.562071378986,0.18861345007344
DRC,Tshopo,U5MR,65.4298010850466,43.1576764685827,98.0183459409834,26,95.1219838186368,47.2647388539391,166.562071378986,0.152267128246926
DRC,Mai-Ndombe,U5MR,62.2987692129348,41.5462320797592,92.4177674322571,26,95.1219838186368,47.2647388539391,166.562071378986,0.126021513145226
DRC,Equateur,U5MR,61.0117064261808,37.6327643310837,97.4439494639532,26,95.1219838186368,47.2647388539391,166.562071378986,0.115232816034302
DRC,Haut-Uele,U5MR,57.1045616426212,33.6888809014197,95.1921799650007,26,95.1219838186368,47.2647388539391,166.562071378986,0.0824814987930783
DRC,Kinshasa,U5MR,55.4947516576354,40.5530885865676,75.5083659123134,26,95.1219838186368,47.2647388539391,166.562071378986,0.068987400049103
DRC,Nord-Kivu,U5MR,47.6371019001317,29.5583843606232,75.9083409004054,26,95.1219838186368,47.2647388539391,166.562071378986,0.00312130236536856
